address_from,address_to,date_time,amount
\xa81011ae274ef6debd3bdab634102c7b6c2c452d,\xc34505980196edcb0c5bcf4e7a2e59ad6e5d578c,2022-09-18T21:04:59+00:00,10795.840204190000
\x28c6c06298d514db089934071355e5743bf21d60,\x123c39054a3f9ba3b7606ca59047c5bcdfd255c7,2022-09-18T21:07:23+00:00,6184.3951303200000000
\xbeefbabeea323f07c59926295205d3b7a17e8638,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:10:23+00:00,12931.818181818185
\x325365ed8275f6a74cac98917b7f6face8da533b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:09:23+00:00,2700.0000000000014780
\xff58711683be66dad6e0e20e0043af46fc7f5f49,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:09:35+00:00,1406.0000000000042587
\xbeefbabeea323f07c59926295205d3b7a17e8638,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:10:35+00:00,27340.909090909094
\xa8056afab31fa542d2137b182fdf4e3c87fdf79a,\x48c04ed5691981c42154c6167398f95e8f38a7ff,2022-09-18T21:09:23+00:00,16.4486525500000000
\xbeefbabeea323f07c59926295205d3b7a17e8638,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:10:59+00:00,13059.090909090911
\xbeefbabeea323f07c59926295205d3b7a17e8638,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:11:11+00:00,14718.181818181819
\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:09:59+00:00,14342.000000000000
\xbeefbabeea323f07c59926295205d3b7a17e8638,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:11:47+00:00,13190.909090909091
\x4da23a436d57909f4052c9f4d4c7db9747b89c6d,\x4c56cfccbc59a82dd29570e9eb89f3e6c16786d3,2022-09-18T21:29:47+00:00,340000.100000000000
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f,2022-09-18T21:11:47+00:00,6909.6635920615550547
\xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,\x6767526a362ec6c6b1df185478e4f01506b73ff3,2022-09-18T21:13:11+00:00,83500.000000000000
\xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f,\x6f0c491f22c959d2280ed7f020fe1cd41bc285f8,2022-09-18T21:11:47+00:00,6909.6635920615550547
\x1c17622cfa9b6fd2043a76dfc39a5b5a109aa708,\xf8b0bf1198cf82b1446a9e353f77dc37204e657e,2022-09-18T21:11:47+00:00,132790.886100000000
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:13:59+00:00,44347.000002866450
\xba12222222228d8ba445958a75a0704d566bf2c8,\xe4000004000bd8006e00720000d27d1fa000d43e,2022-09-18T21:15:59+00:00,7250.9031756155910837
\x325365ed8275f6a74cac98917b7f6face8da533b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:15:23+00:00,5162.0000000000468997
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:15:35+00:00,17638.000001263821
\x5f65f7b609678448494de4c87521cdf6cef1e932,\xff11f6eac027f8088cfcef73b24363e430353b9b,2022-09-18T21:14:35+00:00,176581.000000000000
\x4da23a436d57909f4052c9f4d4c7db9747b89c6d,\xd5ebb6f30f19f9565b2200dbac930f928e3474ce,2022-09-18T21:13:35+00:00,18750.000000000000
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:16:59+00:00,15485.000001637198
\x29d5527caa78f1946a409fa6acaf14a0a4a0274b,\x6767526a362ec6c6b1df185478e4f01506b73ff3,2022-09-18T21:14:23+00:00,103995.046546310000
\xff11f6eac027f8088cfcef73b24363e430353b9b,\xd7efcbb86efdd9e8de014dafa5944aae36e817e4,2022-09-18T21:16:11+00:00,176581.000000000000
\x1c17622cfa9b6fd2043a76dfc39a5b5a109aa708,\xb0b81489ee14c53a0ea47205f23a6b2160bac48d,2022-09-18T21:13:23+00:00,50791.000000000000
\x00000000c2cf7648c169b25ef1c217864bfa38cc,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:14:23+00:00,3323.2316897356869668
\xa5fdc900c0495307240601a3698fe4c840a74982,\x06a0c9532403982aa9bf723c88711074e65c250e,2022-09-18T21:16:11+00:00,7020.1933816800000000
\xba12222222228d8ba445958a75a0704d566bf2c8,\x00000000c2cf7648c169b25ef1c217864bfa38cc,2022-09-18T21:14:23+00:00,3323.2316897356869668
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:32:23+00:00,21711.000004059243
\x6767526a362ec6c6b1df185478e4f01506b73ff3,\x28c6c06298d514db089934071355e5743bf21d60,2022-09-18T21:30:11+00:00,237795.046546000000
\xf8b0bf1198cf82b1446a9e353f77dc37204e657e,\x28c6c06298d514db089934071355e5743bf21d60,2022-09-18T21:30:11+00:00,132790.886100000000
\xe4000004000bd8006e00720000d27d1fa000d43e,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:15:59+00:00,7250.9031756155910837
\x325365ed8275f6a74cac98917b7f6face8da533b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:19:59+00:00,3903.9999999999932246
\x6f0c491f22c959d2280ed7f020fe1cd41bc285f8,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:16:59+00:00,4630.0000033047256808
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:19:59+00:00,11738.000001404666
\xd4f41b22f92989e203280d7f9e490ad3a15c0881,\x325365ed8275f6a74cac98917b7f6face8da533b,2022-09-18T21:18:35+00:00,100.6956521739130435
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:18:35+00:00,15325.000001535044
\xff58711683be66dad6e0e20e0043af46fc7f5f49,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:19:59+00:00,2096.0000000000063995
\xe4000004000bd8006e00720000d27d1fa000d43e,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:21:11+00:00,5941.5107592858369005
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:22:11+00:00,18812.999999348456
\x6f0c491f22c959d2280ed7f020fe1cd41bc285f8,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:19:59+00:00,4432.0000006468869116
\xba12222222228d8ba445958a75a0704d566bf2c8,\xe4000004000bd8006e00720000d27d1fa000d43e,2022-09-18T21:21:11+00:00,5941.5107592858369005
\x89e3c192df4effe90269393df87d4860d217c59a,\xd5ebb6f30f19f9565b2200dbac930f928e3474ce,2022-09-18T21:24:47+00:00,22500.000000000000
\x1c17622cfa9b6fd2043a76dfc39a5b5a109aa708,\x50cfb499422d7317aac5036bf66319b96240c576,2022-09-18T21:24:47+00:00,167572.122500000000
\x325365ed8275f6a74cac98917b7f6face8da533b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:30:47+00:00,7077.9999999999762008
\xd5ebb6f30f19f9565b2200dbac930f928e3474ce,\x6cc5f688a315f3dc28a7781717a9a798a59fda7b,2022-09-18T21:25:35+00:00,41250.000000000000
\x74dec05e5b894b0efec69cdf6316971802a2f9a1,\xb0dc49b104667a3e7b2d602159b50bc59284b7fd,2022-09-18T21:32:11+00:00,10.4663343800000000
\x89e3c192df4effe90269393df87d4860d217c59a,\x6ef291b91fb18b12d3016a1d2a813b1017c5ae47,2022-09-18T21:36:35+00:00,500000.000000000000
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:33:35+00:00,18305.000001982177
\xff58711683be66dad6e0e20e0043af46fc7f5f49,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:35:11+00:00,2568.9999999999935016
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:35:11+00:00,34678.999998380971
\x6f0c491f22c959d2280ed7f020fe1cd41bc285f8,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:35:11+00:00,6182.0000019926228677
\xba12222222228d8ba445958a75a0704d566bf2c8,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:35:59+00:00,8468.4304991336173456
\x1c17622cfa9b6fd2043a76dfc39a5b5a109aa708,\xb6d3fdceac79048086ccd0f25ef7898c459bf71f,2022-09-18T21:36:23+00:00,32200.000000000000
\x06a0c9532403982aa9bf723c88711074e65c250e,\x53eb3ea47643e87e8f25dd997a37b3b5260e7336,2022-09-18T21:35:59+00:00,7020.1933816800000000
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T21:35:35+00:00,15883.000000966356
\x74dec05e5b894b0efec69cdf6316971802a2f9a1,\xb0dc49b104667a3e7b2d602159b50bc59284b7fd,2022-09-18T21:36:23+00:00,16779.436232270000
\xb0baa65689611c9d04bb5ed2732d8b9970583360,\xf5d500b70bfca5987a05fb4efccbfa5e660a81c0,2022-09-18T21:40:23+00:00,49635.000000000000
\x6cc5f688a315f3dc28a7781717a9a798a59fda7b,\x6b06eb7aef2d2515cc2385f141154fc266057fb8,2022-09-18T21:38:11+00:00,171552.000000000000
\x649765821d9f64198c905ec0b2b037a4a52bc373,\xff58711683be66dad6e0e20e0043af46fc7f5f49,2022-09-18T21:42:35+00:00,1642.3613103015130637
\x6b06eb7aef2d2515cc2385f141154fc266057fb8,\x5f65f7b609678448494de4c87521cdf6cef1e932,2022-09-18T21:39:35+00:00,171552.000000000000
\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:38:23+00:00,17730.000000000000
\x81a68885d124e8f1b50a544fa80df39eb8014060,\x6cc5f688a315f3dc28a7781717a9a798a59fda7b,2022-09-18T21:47:11+00:00,130583.000000000000
\xe3d54db13de5e3a85ef761bc44dadc66c02234d7,\xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,2022-09-18T21:45:47+00:00,310039.724500000000
\x76cbf39824f37b00fe0bfe05981e0e1d05d6073c,\x6ef291b91fb18b12d3016a1d2a813b1017c5ae47,2022-09-18T21:44:35+00:00,500000.000000000000
\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,\x6f0c491f22c959d2280ed7f020fe1cd41bc285f8,2022-09-18T21:46:35+00:00,3831.0000000000000000
\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:46:35+00:00,12308.000000000000
\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:46:11+00:00,21618.000000000000
\x3dbd06b16b24a0f37d660349715835614fd20de5,\xd0e73e3c8dcc7fd472f9c71e4b3a105fd32902c3,2022-09-18T21:48:11+00:00,11629.210436286497
\x876eabf441b2ee5b5b0554fd502a8e0600950cfa,\x81a68885d124e8f1b50a544fa80df39eb8014060,2022-09-18T21:46:23+00:00,130583.000000000000
\xb6d3fdceac79048086ccd0f25ef7898c459bf71f,\xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,2022-09-18T21:45:11+00:00,32200.000000000000
\x526c437ee08b624f9ea89927de34018e644bfb25,\x465fc1f1339feb617222ad819dad7d9d4eb96927,2022-09-18T21:48:23+00:00,379.3697770926701936
\x123c39054a3f9ba3b7606ca59047c5bcdfd255c7,\xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,2022-09-18T21:45:59+00:00,6184.3951303200000000
\x354c03c9ac68384c22d5a9cb527dc081218df44a,\x9ae74be912633f32bc22ef552dd2750aeba4266f,2022-09-18T21:49:11+00:00,1030.4000000000000000
\x6cc5f688a315f3dc28a7781717a9a798a59fda7b,\x9cb17fc7797f3f3389b387847600f28337ee8426,2022-09-18T21:51:23+00:00,33168.938500000000
\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,\x6f0c491f22c959d2280ed7f020fe1cd41bc285f8,2022-09-18T21:53:35+00:00,3571.0000000000000000
\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:50:59+00:00,12233.000000000000
\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:53:35+00:00,14040.000000000000
\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-18T21:53:11+00:00,14114.000000000000
\xff58711683be66dad6e0e20e0043af46fc7f5f49,\xe66b31678d6c16e9ebf358268a790b763c133750,2022-09-18T21:57:59+00:00,796.8883746394696369
\xa81011ae274ef6debd3bdab634102c7b6c2c452d,\xfaac643d4f6fc03cd49e6b5cd9f3ffc2920b56de,2022-09-18T22:00:11+00:00,2199.2364287400000000
\x7bf94e5a07131442cb5474ff6a702fbd30c097d5,\x28c6c06298d514db089934071355e5743bf21d60,2022-09-18T22:00:11+00:00,429975.700000000000
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T22:02:47+00:00,12307.000003238122
\x4c56cfccbc59a82dd29570e9eb89f3e6c16786d3,\xd1305fbda97c035f86fdaa7785fb568c203174e1,2022-09-18T21:58:11+00:00,340000.100000000000
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-18T22:01:59+00:00,16321.000000118138
\x9ae74be912633f32bc22ef552dd2750aeba4266f,\xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,2022-09-18T22:00:11+00:00,1030.4000000000000000
\x6ef291b91fb18b12d3016a1d2a813b1017c5ae47,\x28c6c06298d514db089934071355e5743bf21d60,2022-09-18T22:00:11+00:00,1000000.000000000000
\xe66b31678d6c16e9ebf358268a790b763c133750,\x11021663cc6740762d05d16715634ab3b25ea392,2022-09-18T21:57:59+00:00,796.8883746394696369
\x46f80018211d5cbbc988e853a8683501fca4ee9b,\x1c17622cfa9b6fd2043a76dfc39a5b5a109aa708,2022-09-18T21:57:23+00:00,1135382.000000000000
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\xff58711683be66dad6e0e20e0043af46fc7f5f49,2022-09-18T21:59:35+00:00,828.0582296714491115
\x50cfb499422d7317aac5036bf66319b96240c576,\x28c6c06298d514db089934071355e5743bf21d60,2022-09-18T22:00:11+00:00,167572.122500000000
\xc5bccf768e4242a0b518608b4843988ec5fb24d9,\xc6d53959b259c1089d4e99c315df1b20e5dbb08e,2022-09-18T21:57:47+00:00,36332.343261493095
\x1ae04a85c56d63458174dcca65aac1c04359b44c,\x53db50edf9dd805c7a3c2dc35bfad4fb4d01d310,2022-09-18T22:01:47+00:00,481000.300000000000
\xc6d53959b259c1089d4e99c315df1b20e5dbb08e,\x5b4bae84e2e1abd90220b23bdfeeecb27baafa5d,2022-09-18T22:00:59+00:00,2000.0000000000000000
