address_from,address_to,date_time,amount
\x3c09c5efc3ebc46e11007fcc68d191720b443d97,\x5086a3739e4021e85bb635ae90304cabeb5cc8d3,2022-09-16T20:58:23+00:00,26498.000000000000
\xaca096d2e6492d7380c5d8e70d90e13eecc72dd4,\x941b4fdb4b1533ab2cc8b90ff0700f658b4aa642,2022-09-16T20:56:35+00:00,15082.768476110000
\xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,\x44058b9ef49bb09118df57b00803605c947dffab,2022-09-16T20:55:23+00:00,4936.8000000000000000
\xdfd5293d8e347dfe59e90efd55b2956a1343963d,\x9e1415b2718f7d3d335cbd224a1341781d205878,2022-09-16T20:56:59+00:00,126.0000000000000000
\x194d30df0b1e160833e205f95da33fd07c0e9411,\x28c6c06298d514db089934071355e5743bf21d60,2022-09-16T21:00:11+00:00,159968.200000000000
\x34abfc1cf64b6d4ddec069fd6097b9db0ce43d30,\x28c6c06298d514db089934071355e5743bf21d60,2022-09-16T21:00:23+00:00,95580.000000000000
\xcdc8488e63a403bfd580222ea0f3719477bfea9c,\x95b564f3b3bae3f206aa418667ba000afafacc8a,2022-09-16T21:01:59+00:00,12051.060000000000
\xc105afc5cd421462dbf7e05d011ca53c08edc43a,\x28c6c06298d514db089934071355e5743bf21d60,2022-09-16T21:00:11+00:00,290150.000000000000
\x325365ed8275f6a74cac98917b7f6face8da533b,\x34be775b18201b6b836c3b8972062f74eca84d2e,2022-09-16T21:08:35+00:00,3435.9028704616565453
\x9acbb72cf67103a30333a32cd203459c6a9c3311,\x194d30df0b1e160833e205f95da33fd07c0e9411,2022-09-16T21:08:11+00:00,79984.800000000000
\x95b564f3b3bae3f206aa418667ba000afafacc8a,\x29984d1f9055cafb02dcdd53c54b727902e44975,2022-09-16T21:13:35+00:00,35611.750000000000
\xcdc8488e63a403bfd580222ea0f3719477bfea9c,\x95b564f3b3bae3f206aa418667ba000afafacc8a,2022-09-16T21:11:23+00:00,11975.760000000000
\x876eabf441b2ee5b5b0554fd502a8e0600950cfa,\x2090391f0237fe63547a495e6a0f5e366c5b1cdd,2022-09-16T21:11:59+00:00,11264.000000000000
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-16T21:13:59+00:00,16184.000001649472
\x2090391f0237fe63547a495e6a0f5e366c5b1cdd,\x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,2022-09-16T21:15:35+00:00,11264.000000000000
\xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,\xd1097ff901bf1816f430cbdf12a3e43c9d2fc3b3,2022-09-16T21:17:11+00:00,150.8637138800000000
\x28c6c06298d514db089934071355e5743bf21d60,\x22727ce955df3e5d97d3995a145af2854207cb2b,2022-09-16T21:16:23+00:00,222.9680414200000000
\xba12222222228d8ba445958a75a0704d566bf2c8,\xb0f4a77bde7fee134265307c5cc19abff0ba409b,2022-09-16T21:20:11+00:00,3190.8434392002464739
\xb0f4a77bde7fee134265307c5cc19abff0ba409b,\x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2022-09-16T21:20:59+00:00,12322.000000514694
\xcdc8488e63a403bfd580222ea0f3719477bfea9c,\x95b564f3b3bae3f206aa418667ba000afafacc8a,2022-09-16T21:22:59+00:00,11929.890000000000
\x3804dc11767de67eb5efcd33e308ab18a6eccedf,\x53db50edf9dd805c7a3c2dc35bfad4fb4d01d310,2022-09-16T21:26:35+00:00,209000.530000000000
\xff58711683be66dad6e0e20e0043af46fc7f5f49,\x1111111254fb6c44bac0bed2854e76f90643097d,2022-09-16T21:27:23+00:00,168.1003625494372065
\x1111111254fb6c44bac0bed2854e76f90643097d,\xa643763efb036720a91ea9753bf2471d39377040,2022-09-16T21:27:23+00:00,168.1003625494372065
\x21a31ee1afc51d94c2efccaa2092ad1028285549,\x393dcd293df07f86a43f636c12c30086333634d8,2022-09-16T21:29:11+00:00,32245.866000000000
\xd1305fbda97c035f86fdaa7785fb568c203174e1,\x6cc5f688a315f3dc28a7781717a9a798a59fda7b,2022-09-16T21:32:23+00:00,209000.530000000000
