address_from,address_to,date_time,amount
\x4a2bfa4666e979656cba134312e90ad86a83d52b,\xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,2022-09-12T20:52:05+00:00,98.0002000000000000
\x25f2226b597e8f9514b3f68f00f494cf4f286491,\x0da2a519ade39b5d291084616b303c1d72388970,2022-09-12T21:18:14+00:00,16.5582769476193160
\x7abe0ce388281d2acf297cb089caef3819b13448,\x28b5881463ba5ff3a3e5ae067011691847b93c44,2022-09-12T21:18:20+00:00,1.8182651500000000
\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,\xc697051d1c6296c24ae3bcef39aca743861d9a81,2022-09-12T21:02:22+00:00,587.8380213903343259
\xe76c7b9977aa72633d7d11c7c0efe16db47744e6,\xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,2022-09-12T21:03:15+00:00,1.00000000000000000000
\xf05e2a70346560d3228c7002194bb7c5dc8fe100,\x28c6c06298d514db089934071355e5743bf21d60,2022-09-12T21:00:03+00:00,43.0000000000000000
\xd8e19caa5dfa667bc0f5b44cfde1967f59733ba2,\xe76c7b9977aa72633d7d11c7c0efe16db47744e6,2022-09-12T20:59:29+00:00,11.1679642800000000
\x4da27a545c0c5b758a6ba100e3a049001de870f5,\x21d79c2be4ab3de2802a60da66f86d497d06102b,2022-09-12T21:00:46+00:00,40.0000000000000000
\x1157a2076b9bb22a85cc2c162f20fab3898f4101,\xf5c4f57f2dee7d29421433d1b2f85287aec8c3ef,2022-09-12T21:03:23+00:00,36.8231558000000000
\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,2022-09-12T21:02:22+00:00,587.8380213903343259
\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,2022-09-12T21:06:04+00:00,322.1304295695654382
\x21d79c2be4ab3de2802a60da66f86d497d06102b,\x945bcf562085de2d5875b9e2012ed5fd5cfab927,2022-09-12T21:04:23+00:00,40.2365347881562996
\xbe368f7086b0f9e98af309be43afb02f40135eac,\xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,2022-09-12T21:07:57+00:00,171.0600000000000000
\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,\xc697051d1c6296c24ae3bcef39aca743861d9a81,2022-09-12T21:06:04+00:00,322.1304295695654382
\xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,\xc3a0369f38c9ed5001ce0c5655f9b7cc5d50c07b,2022-09-12T21:06:04+00:00,0.15125829000000000000
\xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,2022-09-12T21:08:19+00:00,168.9900000000000000
\xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,\xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,2022-09-12T21:08:01+00:00,168.9900000000000000
\x28c6c06298d514db089934071355e5743bf21d60,\xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,2022-09-12T21:08:19+00:00,175.4400000000000000
\xe76c7b9977aa72633d7d11c7c0efe16db47744e6,\xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,2022-09-12T21:09:38+00:00,11.1679642800000000
\x48c04ed5691981c42154c6167398f95e8f38a7ff,\x5ac113ec66e034df53261f8f15f45d5b8065754f,2022-09-12T21:12:36+00:00,0.78968891000000000000
\xf89d7b9c864f589bbf53a82105107622b35eaa40,\x1f68053cd925d467852cfecf78bd836f33f0e4a1,2022-09-12T21:13:46+00:00,125.0000000000000000
\xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,2022-09-12T21:11:43+00:00,175.4400000000000000
\x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,\x04e47f01d14a756fe89d4223189974f0793515ad,2022-09-12T21:14:01+00:00,190.2743085100000000
\x21a31ee1afc51d94c2efccaa2092ad1028285549,\x17ecb34dc61278db593bffae754ac75d08ef3e8f,2022-09-12T21:15:20+00:00,237.8900000000000000
\xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,\x4da27a545c0c5b758a6ba100e3a049001de870f5,2022-09-12T21:24:31+00:00,0.25554009397480360400
\x2660dcbc6a30ac3401c3c4e9f90b78c7a685a68d,\x6d1beb4e901261ddd3085aaddac98bce54dbce19,2022-09-12T21:22:39+00:00,0.78400000000000000000
\x26a78d5b6d7a7aceedd1e6ee3229b372a624d8b7,\x4caaca9203142c75d00cd123779d7daffb560071,2022-09-12T21:23:30+00:00,1.9500000000000000
\xda4d6138c40a8ea3f85ea25216a804a4365f7acb,\x4da27a545c0c5b758a6ba100e3a049001de870f5,2022-09-12T21:26:23+00:00,1.9504610500000000
\x0da2a519ade39b5d291084616b303c1d72388970,\xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,2022-09-12T21:27:50+00:00,1.00000000000000000000
\x48c04ed5691981c42154c6167398f95e8f38a7ff,\x5ac113ec66e034df53261f8f15f45d5b8065754f,2022-09-12T21:32:01+00:00,2.0855169800000000
\xa81011ae274ef6debd3bdab634102c7b6c2c452d,\x62a2e938871bc61d43817b019f7cf569f492df71,2022-09-12T21:31:45+00:00,4.5716117600000000
